id,Choice,Gender,Amount_purchased,Frequency,Last_purchase,First_purchase,P_Child,P_Youth,P_Cook,P_DIY,P_Art
355,1,1,396,12,9,44,1,2,2,0,1
356,1,0,371,6,11,40,4,1,4,1,0
357,1,0,292,2,1,2,1,0,0,0,0
358,1,1,339,10,6,36,2,1,0,0,2
359,1,1,245,2,1,2,1,0,0,0,0
360,1,0,330,14,12,84,2,0,3,3,3
361,1,0,154,10,1,10,0,0,1,0,0
362,1,0,243,28,1,28,0,1,0,0,0
363,1,1,72,14,2,18,0,0,0,0,1
364,1,1,92,6,1,6,1,0,0,0,0
365,1,1,307,8,1,8,1,0,0,0,0
366,1,0,271,10,1,10,0,0,0,0,1
367,1,1,385,4,9,40,2,0,2,2,2
368,1,1,94,2,6,24,1,1,2,1,0
369,1,0,115,2,3,16,1,0,0,1,0
370,1,1,55,2,3,8,0,1,0,0,1
371,1,0,252,2,2,4,0,0,1,0,1
372,1,0,339,12,11,38,4,0,1,1,2
373,1,1,76,10,1,10,0,0,0,0,1
374,1,1,59,16,1,16,0,0,0,1,0
375,1,0,406,8,10,58,1,0,3,2,1
376,1,1,60,14,4,28,0,0,1,0,1
377,1,0,306,10,1,10,0,0,0,0,1
378,1,1,264,4,2,8,0,0,0,1,1
379,1,1,74,10,2,14,1,0,0,0,1
380,1,0,256,12,1,12,0,0,0,0,1
381,1,1,253,12,1,12,0,0,1,0,0
382,1,0,403,12,8,44,3,1,1,2,1
383,1,1,35,10,2,16,0,0,0,1,1
384,1,0,139,10,9,30,1,3,1,2,0
385,1,0,229,16,2,20,0,0,1,0,0
386,1,1,237,2,2,4,0,0,1,0,1
387,1,1,202,8,11,32,2,0,1,1,2
388,1,0,111,12,2,20,0,0,0,0,0
389,1,1,256,2,11,38,4,2,3,0,1
390,1,1,57,2,2,8,0,0,1,0,1
391,1,1,162,10,1,10,0,0,0,0,1
392,1,1,336,2,10,24,3,0,0,0,2
393,1,1,319,2,2,8,0,0,0,1,1
394,1,0,183,2,1,2,0,1,0,0,0
395,1,0,385,4,10,26,2,0,1,3,0
396,1,0,352,2,6,22,0,2,1,0,2
397,1,1,276,10,2,16,1,0,0,0,0
398,1,1,72,6,4,16,1,0,1,0,2
399,1,1,313,8,1,8,0,0,0,0,0
400,1,0,287,12,4,24,0,3,0,0,1
401,0,1,123,12,1,12,0,1,0,0,0
402,0,1,294,6,2,8,0,1,1,0,0
403,0,1,138,14,9,38,1,1,3,2,1
404,0,1,228,2,1,2,0,1,0,0,0
405,0,1,102,22,2,24,2,0,0,0,0
406,0,0,145,10,8,50,1,1,4,0,1
407,0,0,211,6,1,6,0,0,1,0,0
408,0,1,289,4,5,32,1,1,1,1,0
409,0,0,185,14,6,44,1,0,3,1,1
410,0,1,261,6,1,6,1,0,0,0,0
411,0,1,73,14,4,32,2,0,0,0,1
412,0,1,185,16,2,18,0,0,0,1,1
413,0,1,274,12,2,20,1,0,0,0,1
414,0,1,82,10,1,10,0,0,0,0,0
415,0,1,184,2,2,10,1,0,1,0,0
416,0,1,113,20,1,20,1,0,0,0,0
417,0,0,44,12,2,20,0,0,2,0,0
418,0,1,254,6,3,24,0,0,1,1,1
419,0,1,213,2,1,2,0,0,0,0,1
420,0,1,57,10,2,14,0,0,2,0,0
421,0,1,252,12,1,12,1,0,0,0,0
422,0,1,52,4,2,6,1,0,0,0,0
423,0,1,33,16,2,22,0,0,0,1,0
424,0,1,132,18,2,20,1,0,0,0,0
425,0,0,333,2,4,18,1,0,1,0,1
426,0,1,284,12,1,12,0,0,0,0,0
427,0,1,314,2,1,2,0,0,1,0,0
428,0,1,437,16,11,58,5,0,2,2,2
429,0,1,285,10,6,38,0,0,2,2,1
430,0,1,115,24,1,24,0,0,0,0,1
431,0,0,240,34,8,54,3,2,2,0,0
432,0,1,87,8,4,18,0,0,2,1,1
433,0,1,96,16,1,16,0,0,0,0,1
434,0,1,408,16,10,48,3,0,3,1,1
435,0,0,32,14,1,14,0,0,0,0,1
436,0,1,54,14,3,22,1,1,1,0,0
437,0,1,196,10,2,18,2,0,0,0,0
438,0,1,357,12,12,60,2,4,2,2,2
439,0,0,147,12,1,12,0,1,0,0,0
440,0,1,194,2,2,6,0,0,1,1,0
441,0,1,196,2,12,26,3,2,2,1,0
442,0,0,176,8,1,8,0,0,1,0,0
443,0,1,220,4,1,4,0,0,1,0,0
444,0,1,316,16,6,32,3,1,0,1,1
445,0,0,235,14,1,14,0,1,0,0,0
446,0,1,280,30,2,34,0,1,1,0,0
447,0,1,320,28,3,38,0,0,2,0,1
448,0,1,141,16,2,18,0,0,0,1,1
449,0,1,346,28,12,52,3,1,3,1,3
450,0,1,149,2,1,2,1,0,0,0,0
451,0,1,42,8,2,10,1,1,0,0,0
452,0,0,340,14,4,26,3,0,1,0,0
453,0,1,87,10,1,10,1,0,0,0,0
454,0,1,69,14,2,18,1,0,0,0,0
455,0,1,206,12,1,12,0,0,0,0,1
456,0,1,206,26,1,26,0,0,1,0,0
457,0,1,281,14,12,66,5,1,1,4,0
458,0,1,134,12,4,22,3,0,0,0,0
459,0,0,216,28,2,36,0,0,1,0,1
460,0,1,186,36,2,40,0,0,2,0,0
461,0,0,304,2,1,2,0,0,0,0,1
462,0,0,228,30,2,38,1,0,1,0,0
463,0,1,196,16,4,38,2,0,0,2,0
464,0,0,148,8,1,8,0,0,1,0,0
465,0,1,247,24,2,26,1,0,1,0,0
466,0,1,303,2,2,6,0,0,1,0,0
467,0,1,128,8,1,8,1,0,0,0,0
468,0,1,193,16,1,16,0,0,1,0,0
469,0,1,316,32,2,36,0,1,0,1,0
470,0,0,162,20,1,20,1,0,0,0,0
471,0,1,107,8,1,8,1,0,0,0,0
472,0,0,94,2,2,10,0,0,1,0,1
473,0,1,212,16,1,16,1,0,0,0,0
474,0,1,126,16,8,48,2,1,1,2,0
475,0,0,130,36,2,38,0,0,1,0,1
476,0,1,299,12,3,26,0,0,0,1,0
477,0,1,287,22,2,30,0,0,1,0,1
478,0,1,125,14,2,16,0,1,0,0,1
479,0,1,193,16,2,20,1,0,0,0,1
480,0,1,275,2,1,2,0,0,0,1,0
481,0,1,204,4,4,16,1,0,2,0,0
482,0,1,262,12,2,16,0,0,0,1,1
483,0,1,18,30,1,30,0,0,1,0,0
484,0,0,277,14,1,14,0,0,1,0,0
485,0,1,49,10,2,14,0,0,0,1,0
486,0,1,396,4,9,24,1,4,2,1,0
487,0,1,98,12,1,12,0,0,0,0,1
488,0,1,62,8,1,8,0,0,1,0,0
489,0,1,266,34,2,40,0,0,0,0,1
490,0,1,81,10,1,10,0,0,0,0,0
491,0,1,80,8,2,12,1,0,1,0,0
492,0,1,244,2,2,8,0,0,0,1,0
493,0,0,29,4,1,4,0,1,0,0,0
494,0,1,214,16,2,24,1,0,0,0,0
495,0,1,240,20,1,20,1,0,0,0,0
496,0,1,202,12,2,16,0,0,1,0,1
497,0,0,33,10,2,16,0,0,1,0,1
498,0,1,253,8,3,24,1,0,0,0,1
499,0,0,228,2,8,24,1,1,4,1,1
500,0,1,224,14,2,20,1,0,1,0,0
501,0,0,96,8,1,8,0,0,1,0,0
502,0,1,122,16,1,16,0,1,0,0,0
503,0,1,266,12,6,44,2,0,1,1,1
504,0,1,128,20,6,40,2,0,1,1,0
505,0,1,198,4,4,20,1,0,2,1,0
506,0,0,228,4,8,32,1,0,2,3,0
507,0,0,100,8,1,8,1,0,0,0,0
508,0,1,247,20,4,30,1,0,0,0,1
509,0,0,73,18,1,18,1,0,0,0,0
510,0,1,288,22,1,22,0,0,1,0,0
511,0,1,413,34,9,74,3,0,1,1,2
512,0,1,397,4,11,60,4,0,3,1,1
513,0,1,25,6,1,6,0,0,1,0,0
514,0,1,15,12,1,12,1,0,0,0,0
515,0,0,251,12,7,54,2,0,3,1,1
516,0,1,314,2,2,4,0,1,1,0,0
517,0,0,126,28,1,28,0,0,0,0,0
518,0,1,107,2,2,8,1,0,0,0,1
519,0,1,314,10,1,10,0,0,0,0,1
520,0,0,121,10,1,10,0,0,1,0,0
521,0,1,166,16,1,16,0,0,1,0,0
522,0,1,117,8,5,20,2,0,2,0,0
523,0,1,224,28,2,32,0,0,0,1,1
524,0,1,75,14,1,14,0,1,0,0,0
525,0,1,180,14,1,14,0,0,1,0,0
526,0,0,248,4,5,24,2,1,0,2,0
527,0,1,92,14,1,14,1,0,0,0,0
528,0,1,69,12,1,12,1,0,0,0,0
529,0,0,277,20,1,20,0,1,0,0,0
530,0,1,294,12,5,24,1,1,2,1,0
531,0,0,18,2,1,2,0,0,1,0,0
532,0,0,218,10,2,18,1,0,0,1,0
533,0,1,268,14,2,18,1,0,0,0,1
534,0,0,324,14,2,20,0,0,2,0,0
535,0,0,168,12,1,12,0,0,0,1,0
536,0,0,316,14,4,34,2,1,0,0,1
537,0,0,174,12,11,48,4,0,1,2,1
538,0,1,71,14,2,20,2,0,0,0,0
539,0,1,202,10,1,10,0,1,0,0,0
540,0,1,30,10,1,10,0,0,1,0,0
541,0,1,129,10,1,10,1,0,0,0,0
542,0,1,205,4,2,6,0,0,0,1,0
543,0,1,215,16,6,34,1,0,1,1,2
544,0,1,189,8,4,18,0,0,0,2,1
545,0,1,285,22,1,22,0,0,1,0,0
546,0,1,288,4,1,4,0,0,1,0,0
547,0,1,209,4,1,4,1,0,0,0,0
548,0,1,301,14,4,34,1,0,2,1,0
549,0,1,35,18,2,22,1,0,1,0,0
550,0,1,244,16,2,20,1,0,0,1,0
551,0,1,334,8,9,28,1,1,3,1,1
552,0,1,140,16,2,24,1,0,0,0,1
553,0,0,162,10,6,22,1,1,3,0,1
554,0,0,163,14,1,14,0,0,0,0,0
555,0,1,216,14,2,20,1,0,1,0,0
556,0,1,264,16,1,16,0,0,0,0,0
557,0,0,111,12,2,16,1,0,1,0,0
558,0,0,235,18,1,18,0,0,0,1,0
559,0,1,117,16,7,54,4,0,1,1,0
560,0,1,135,16,3,26,1,1,0,0,1
561,0,1,131,16,1,16,0,0,0,0,1
562,0,1,235,2,1,2,1,0,0,0,0
563,0,1,118,12,1,12,0,0,0,0,1
564,0,1,327,4,9,38,1,1,2,2,2
565,0,1,237,16,2,20,0,0,0,0,1
566,0,1,151,10,3,24,1,1,0,1,0
567,0,1,84,16,2,24,0,0,1,0,0
568,0,0,180,4,1,4,0,0,0,1,0
569,0,1,79,10,2,14,0,0,2,0,0
570,0,1,201,12,3,28,0,1,0,0,1
571,0,0,331,26,7,42,3,1,1,1,1
572,0,1,292,12,5,30,1,2,1,0,0
573,0,1,285,12,11,76,2,1,3,2,0
574,0,0,300,34,1,34,1,0,0,0,0
575,0,1,175,12,1,12,1,0,0,0,0
576,0,0,354,6,10,56,1,3,5,1,0
577,0,1,210,12,1,12,0,0,0,1,0
578,0,1,163,2,1,2,1,0,0,0,0
